start,l2_norm,constraint_status,shock_EQUITY_INDEX,shock_RATES_10Y,shock_FX_USD,shock_OIL,shock_GOLD
0,0.20203050901706543,SATISFIED,-0.1836727708385562,2.3381953302864678e-17,-0.061221321000676135,-0.040821094004081064,-0.04081945572179903
1,0.20203050891256819,SATISFIED,-0.183673708682867,6.518534639612844e-17,-0.06122427935028915,-0.0408154618153122,-0.04081643008634086
2,0.20203050891000748,SATISFIED,-0.18367346581695204,4.979766051127465e-17,-0.0612244938845862,-0.04081633074900424,-0.04081633224567974
3,0.20203050891069668,SATISFIED,-0.18367349467577562,0.0,-0.06122442545567403,-0.04081609832698086,-0.04081653744853627
4,0.2020305089104573,SATISFIED,-0.1836734657948795,0.0,-0.061224493779880165,-0.04081633123107486,-0.040816332022221055
